1989.05.25;Big Van Vader (c) vs Salman Hashimikov;https://njpwworld.com/p/s_series_00326_01_03;Battle Satellite;Osaka Castle Hall;IWGP Heavyweight Title;;1
1989.07.13;Jushin 'Thunder' Liger (c) vs Naoki Sano;http://njpwworld.com/p/s_series_00088_1_1;Summer Fight Series;Ryogoku Kokugikan;IWGP Jr. Heavyweight Title;;1
1989.09.20;Naoki Sano (c) vs Jushin 'Thunder' Liger;https://njpwworld.com/p/s_series_00327_01_01;Bloody Fight Series;Osaka Castle Hall;IWGP Jr. Heavyweight Title;;1
1989.09.20;Choshu & Iizuka (c) vs Hashimoto & Saito;https://njpwworld.com/p/s_series_00327_01_03;Bloody Fight Series;Osaka Castle Hall;IWGP Heavyweight Tag Titles;;0
1989.09.20;Big Van Vader (c) vs Bam Bam Bigelow;https://njpwworld.com/p/s_series_00327_01_02;Bloody Fight Series;Osaka Castle Hall;IWGP Heavyweight Title, Inoki guest referee;;1
1990.01.25;Owen Hart vs Black Tiger;http://njpwworld.com/p/s_archive_27_01_01/e/sp/1469;New Year Golden Series;Nakajima Sports Centre;IWGP Jr. Heavyweight no.1 Contendership;;0
1990.01.25;Jushin 'Thunder' Liger vs Akira Nogami;http://njpwworld.com/p/s_archive_27_01_02/e/sp/1469;New Year Golden Series;Nakajima Sports Centre;IWGP Jr. Heavyweight no.1 Contendership;;0
1990.01.25;Masahiro Chono vs Big Van Vader;http://njpwworld.com/p/s_archive_27_01_05/e/sp/1469;New Year Golden Series;Nakajima Sports Centre;;;0
1990.01.31;Naoki Sano (c) vs Jushin 'Thunder' Liger;http://njpwworld.com/p/s_series_00089_2_1;Super Fight;Osaka Prefectural Gym;IWGP Jr. Heavyweight Title;;2
1990.02.10;Liger & AKIRA vs Sano & Pegasus Kid;http://njpwworld.com/p/s_series_00090_1_2;Super Fight;Tokyo Dome;;;0
1990.02.10;Big Van Vader (c) vs Stan Hansen;http://njpwworld.com/p/s_series_00090_1_9;Super Fight;Tokyo Dome;IWGP Heavyweight Title;;2
